
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    127.0.0.1:63136        Puget-89256:63143      ESTABLISHED
  TCP    127.0.0.1:63136        Puget-89256:63189      ESTABLISHED
  TCP    127.0.0.1:63137        Puget-89256:63138      ESTABLISHED
  TCP    127.0.0.1:63138        Puget-89256:63137      ESTABLISHED
  TCP    127.0.0.1:63139        Puget-89256:63140      ESTABLISHED
  TCP    127.0.0.1:63140        Puget-89256:63139      ESTABLISHED
  TCP    127.0.0.1:63141        Puget-89256:63142      ESTABLISHED
  TCP    127.0.0.1:63142        Puget-89256:63141      ESTABLISHED
  TCP    127.0.0.1:63143        Puget-89256:63136      ESTABLISHED
  TCP    127.0.0.1:63144        Puget-89256:63145      ESTABLISHED
  TCP    127.0.0.1:63145        Puget-89256:63144      ESTABLISHED
  TCP    127.0.0.1:63146        Puget-89256:63133      ESTABLISHED
  TCP    127.0.0.1:63151        Puget-89256:63152      ESTABLISHED
  TCP    127.0.0.1:63152        Puget-89256:63151      ESTABLISHED
  TCP    127.0.0.1:63153        Puget-89256:63154      ESTABLISHED
  TCP    127.0.0.1:63154        Puget-89256:63153      ESTABLISHED
  TCP    127.0.0.1:63155        Puget-89256:63156      ESTABLISHED
  TCP    127.0.0.1:63156        Puget-89256:63155      ESTABLISHED
  TCP    127.0.0.1:63157        Puget-89256:63158      ESTABLISHED
  TCP    127.0.0.1:63158        Puget-89256:63157      ESTABLISHED
  TCP    127.0.0.1:63159        Puget-89256:63160      ESTABLISHED
  TCP    127.0.0.1:63160        Puget-89256:63159      ESTABLISHED
  TCP    127.0.0.1:63161        Puget-89256:63162      ESTABLISHED
  TCP    127.0.0.1:63162        Puget-89256:63161      ESTABLISHED
  TCP    127.0.0.1:63163        Puget-89256:63164      ESTABLISHED
  TCP    127.0.0.1:63164        Puget-89256:63163      ESTABLISHED
  TCP    127.0.0.1:63165        Puget-89256:63166      ESTABLISHED
  TCP    127.0.0.1:63166        Puget-89256:63165      ESTABLISHED
  TCP    127.0.0.1:63167        Puget-89256:63168      ESTABLISHED
  TCP    127.0.0.1:63168        Puget-89256:63167      ESTABLISHED
  TCP    127.0.0.1:63169        Puget-89256:0          LISTENING
  TCP    127.0.0.1:63170        Puget-89256:63171      ESTABLISHED
  TCP    127.0.0.1:63171        Puget-89256:63170      ESTABLISHED
  TCP    127.0.0.1:63172        Puget-89256:63173      ESTABLISHED
  TCP    127.0.0.1:63173        Puget-89256:63172      ESTABLISHED
  TCP    127.0.0.1:63174        Puget-89256:63175      ESTABLISHED
  TCP    127.0.0.1:63175        Puget-89256:63174      ESTABLISHED
  TCP    127.0.0.1:63176        Puget-89256:63177      ESTABLISHED
  TCP    127.0.0.1:63177        Puget-89256:63176      ESTABLISHED
  TCP    127.0.0.1:63178        Puget-89256:63179      ESTABLISHED
  TCP    127.0.0.1:63179        Puget-89256:63178      ESTABLISHED
  TCP    127.0.0.1:63180        Puget-89256:63181      ESTABLISHED
